Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
221,H27634_Muscle_SRR12355499_Immune-Cells,0.640523852368,H27634,Immune-Cells,Muscle,115
222,H27471_Heart_SRR12355460_Cardiac-Muscle-Cells,0.402516329255,H27471,Cardiac-Muscle-Cells,Heart,110
223,H27295_Heart_SRR12355432_Heart-Epi,0.764980623963,H27295,Heart-Epi,Heart,122
224,H27098_Muscle_SRR12355430_Vascular-Endo,0.808928937129,H27098,Vascular-Endo,Muscle,120
225,H27295_Heart_SRR12355432_Lymphatic-Endo,0.678517417365,H27295,Lymphatic-Endo,Heart,122
226,H27431_Heart_SRR12355441_Schwann-Cells,1.01676330348,H27431,Schwann-Cells,Heart,110
227,H27634_Muscle_SRR12355499_Vascular-Endo,0.699946572126,H27634,Vascular-Endo,Muscle,115
228,H27876_Intestine_SRR12355513_Kidney,0.956901171247,H27876,Kidney,Intestine,117
229,H27473_Heart_SRR12355477_Neurons,0.868482743777,H27473,Neurons,Heart,90
230,H27472_Heart_SRR12355471_Lymphatic-Endo,0.45,H27472,Lymphatic-Endo,Heart,94
231,H27477_Muscle_SRR12355490_Vascular-Endo,0.900900900901,H27477,Vascular-Endo,Muscle,125
232,H27909_Intestine_SRR12355517_Stromal-Cells,1.05790808561,H27909,Stromal-Cells,Intestine,96
233,H27464_Heart_SRR12355451_Heart-Cells,1.15440406157,H27464,Heart-Cells,Heart,122
234,H27909_Intestine_SRR12355517_Mesothelial-Cells,0.921105326392,H27909,Mesothelial-Cells,Intestine,96
235,H27464_Heart_SRR12355451_Cardiac-Muscle-Cells,0.525182679634,H27464,Cardiac-Muscle-Cells,Heart,122
236,H27471_Heart_SRR12355460_Smooth-Muscle-Cells,0.781674163404,H27471,Smooth-Muscle-Cells,Heart,110
237,H27876_Intestine_SRR12355513_Smooth-Muscle-Cells,1.3364323068,H27876,Smooth-Muscle-Cells,Intestine,117
238,H27798_Intestine_SRR12355507_Blood-Cells,0.414450080416,H27798,Blood-Cells,Intestine,85
239,H27431_Heart_SRR12355441_Heart-Epi,0.815933374553,H27431,Heart-Epi,Heart,110
240,H27477_Muscle_SRR12355490_Stromal-Cells,1.37720521079,H27477,Stromal-Cells,Muscle,125
241,H27464_Heart_SRR12355451_Blood-Cells,0.35739814153,H27464,Blood-Cells,Heart,122
242,H27771_Intestine_SRR12355502_Gut-Epi,0.893485598267,H27771,Gut-Epi,Intestine,112
243,H27431_Muscle_SRR12355444_Immune-Cells,0.417101147028,H27431,Immune-Cells,Muscle,110
244,H27471_Heart_SRR12355460_Stromal-Cells,0.794937821216,H27471,Stromal-Cells,Heart,110
245,H27876_Intestine_SRR12355513_Lymphatic-Endo,1.02531354721,H27876,Lymphatic-Endo,Intestine,117
246,H27915_Intestine_SRR12355522_Smooth-Muscle-Cells,0.71253968415,H27915,Smooth-Muscle-Cells,Intestine,72
247,H27423_Heart_SRR12355435_Vascular-Endo,1.21161479006,H27423,Vascular-Endo,Heart,115
248,H26547_Heart_SRR12355414_Heart-Epi,0.817639921929,H26547,Heart-Epi,Heart,113
249,H27431_Heart_SRR12355441_Immune-Cells,0.700679684541,H27431,Immune-Cells,Heart,110
