StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,5662sTS.Human.Kidney.18w.Female,0.037226461,1.896063195,0.074930481,0.090702561,0.032158804,0.159948821
StrandedData,5531sTS.Human.Brain.29ypb.Male,0.050623185,3.267426452,0.082330343,0.104424054,0.047959096,0.199346084
StrandedData,3640sTS.Human.Testis.CS21.Male,0.038613628,1.541928653,0.077119743,0.089342465,0.034751824,0.176670654
StrandedData,3590sTS.Human.Testis.CS13.Male,0.042444365,2.867598053,0.109730571,0.087739411,0.039263087,0.202191974
StrandedData,5674sTS.Human.Ovary.18w.Female,0.041221808,1.728279722,0.101742874,0.077419918,0.031841948,0.178614602
StrandedData,5913sTS.Human.Liver.4w.Female,0.033305106,2.549843774,0.075446354,0.076895117,0.029932005,0.176502627
StrandedData,5513sTS.Human.Liver.7ypb.Male,0.061468631,2.96523169,0.093508474,0.13282842,0.066303255,0.217479715
StrandedData,2039sTSm.Human.Heart.9w.Male,0.036018824,1.148051517,0.076994104,0.06683695,0.032787757,0.170982643
StrandedData,5769sTS.Human.Liver.19w.Male,0.031821559,1.192426685,0.052476628,0.073848613,0.030778392,0.137566205
StrandedData,5673sTS.Human.Ovary.16w.Female,0.040983673,2.08079971,0.076813446,0.081522228,0.033585472,0.162421022
StrandedData,6097sTS.Human.Hindbrain.4w.Male,0.042315123,1.555818769,0.074340689,0.087465362,0.034830424,0.165106264
StrandedData,5770sTS.Human.Brain.20w.Female,0.031178139,1.78988615,0.049252458,0.067328451,0.031142738,0.127197166
StrandedData,5642sTS.Human.Heart.5w.Female,0.03228223,2.176389953,0.070869378,0.081183611,0.029387984,0.153351177
StrandedData,5647sTS.Human.Kidney.11w.Female,0.048853984,1.861968274,0.105864711,0.091334117,0.046501307,0.192948805
StrandedData,5664sTS.Human.Forebrain.10w.Female,0.032171498,2.054164367,0.075253269,0.07135269,0.029449727,0.157554992
StrandedData,5934sTS.Human.Testis.11w.Male,0.046407121,1.692295868,0.078228585,0.081787524,0.0388478,0.211806101
StrandedData,5635sTS.Human.Hindbrain.5w.Female,0.03616589,1.952306654,0.069298925,0.070497692,0.030556606,0.157476637
StrandedData,5940sTS.Human.Testis.13w.Male,0.037756711,2.198778152,0.062660352,0.076075624,0.03362175,0.175138119
StrandedData,5645sTS.Human.Kidney.CS22.Female,0.031053456,1.72516532,0.060101282,0.079680884,0.026552373,0.137728323
StrandedData,5849sTS.Human.Cerebellum.6mpb.Female,0.051517256,2.740256399,0.198670563,0.215638438,0.047821357,0.307641581
StrandedData,5717sTS.Human.Kidney.5w.Female,0.035385435,1.484924214,0.068345544,0.090077324,0.031275633,0.158547333
StrandedData,6098sTS.Human.Kidney.18dpb.Female,0.049721101,3.451683485,0.147591674,0.095085086,0.049193414,0.267302218
StrandedData,3770sTS.Human.Heart.12w.Male,0.037133962,1.184538977,0.097991128,0.092076036,0.029933038,0.163421919
StrandedData,5543sTS.Human.Brain.2ypb.Female,0.062866932,3.085610443,0.09388097,0.164171601,0.063529752,0.257317776
