Sample	Gene	TPM
v1_nomultiseg_5564sTS_Human_Testis_14ypb_Male_nomultiseg_bam	ADAR	105.395252338771
v1_nomultiseg_5565sTS_Human_Cerebellum_17ypb_Male_nomultiseg_bam	ADAR	195.122104594661
v1_nomultiseg_5566sTS_Human_Testis_29ypb_Male_nomultiseg_bam	ADAR	71.0317992558222
v1_nomultiseg_5567sTS_Human_Cerebellum_7ypb_Male_nomultiseg_bam	ADAR	178.175422147161
v1_nomultiseg_5568sTS_Human_Cerebellum_270dpb_Male_nomultiseg_bam	ADAR	126.142415638574
v1_nomultiseg_5569sTS_Human_Brain_7ypb_Male_nomultiseg_bam	ADAR	141.914507989127
v1_nomultiseg_5570sTS_Human_Brain_13ypb_Male_nomultiseg_bam	ADAR	109.460554062872
v1_nomultiseg_5571sTS_Human_Liver_58ypb_Male_nomultiseg_bam	ADAR	122.470191250204
v1_nomultiseg_5573sTS_Human_Cerebellum_58ypb_Male_nomultiseg_bam	ADAR	177.702074906467
v1_nomultiseg_5574sTS_Human_Brain_39ypb_Male_nomultiseg_bam	ADAR	191.782233775885
v1_nomultiseg_5575sTS_Human_Liver_17ypb_Male_nomultiseg_bam	ADAR	102.935373408656
v1_nomultiseg_5622sTS_Human_Hindbrain_4w_Female_nomultiseg_bam	ADAR	242.161741871156
v1_nomultiseg_5623sTS_Human_Ovary_4w_Female_nomultiseg_bam	ADAR	233.545036813028
v1_nomultiseg_5624sTS_Human_Forebrain_4w_Male_nomultiseg_bam	ADAR	216.310979424833
v1_nomultiseg_5625sTS_Human_Hindbrain_4w_Male_nomultiseg_bam	ADAR	205.726213600527
v1_nomultiseg_5626sTS_Human_Liver_4w_Male_nomultiseg_bam	ADAR	219.984083760665
v1_nomultiseg_5628sTS_Human_Forebrain_5w_Female_nomultiseg_bam	ADAR	195.774678822073
v1_nomultiseg_5629sTS_Human_Liver_5w_Male_nomultiseg_bam	ADAR	132.933143970015
v1_nomultiseg_5635sTS_Human_Hindbrain_5w_Female_nomultiseg_bam	ADAR	210.519949258452
v1_nomultiseg_5637sTS_Human_Hindbrain_11w_Female_nomultiseg_bam	ADAR	201.485693725092
v1_nomultiseg_5638sTS_Human_Ovary_5w_Female_nomultiseg_bam	ADAR	214.333355032684
v1_nomultiseg_5639sTS_Human_Ovary_6w_Female_nomultiseg_bam	ADAR	206.743486213363
v1_nomultiseg_5640sTS_Human_Liver_5w_Female_nomultiseg_bam	ADAR	242.039902431123
v1_nomultiseg_5641sTS_Human_Liver_18w_Female_nomultiseg_bam	ADAR	140.693173684913
v1_nomultiseg_5642sTS_Human_Heart_5w_Female_nomultiseg_bam	ADAR	206.914493852511
v1_nomultiseg_5643sTS_Human_Kidney_6w_Female_nomultiseg_bam	ADAR	235.010801091027
v1_nomultiseg_5644sTS_Human_Kidney_7w_Female_nomultiseg_bam	ADAR	194.644190371744
v1_nomultiseg_5645sTS_Human_Kidney_CS22_Female_nomultiseg_bam	ADAR	206.442686785465
v1_nomultiseg_5646sTS_Human_Kidney_10w_Female_nomultiseg_bam	ADAR	187.331558479798
v1_nomultiseg_5647sTS_Human_Kidney_11w_Female_nomultiseg_bam	ADAR	181.212519155073
v1_nomultiseg_5648sTS_Human_Kidney_12w_Female_nomultiseg_bam	ADAR	198.014816199845
v1_nomultiseg_5649sTS_Human_Kidney_5w_Male_nomultiseg_bam	ADAR	194.980241337733
v1_nomultiseg_5650sTS_Human_Kidney_6w_Male_nomultiseg_bam	ADAR	208.402478963199
v1_nomultiseg_5651sTS_Human_Kidney_12w_Male_nomultiseg_bam	ADAR	200.192878129412
v1_nomultiseg_5652sTS_Human_Testis_16w_Male_nomultiseg_bam	ADAR	224.871107913365
v1_nomultiseg_5653sTS_Human_Testis_18w_Male_nomultiseg_bam	ADAR	194.321248848174
v1_nomultiseg_5654sTS_Human_Liver_16w_Female_nomultiseg_bam	ADAR	166.665217224255
v1_nomultiseg_5655sTS_Human_Kidney_13w_Male_nomultiseg_bam	ADAR	192.47355010514
v1_nomultiseg_5656sTS_Human_Liver_16w_Male_nomultiseg_bam	ADAR	160.032369009732
v1_nomultiseg_5657sTS_Human_Liver_18w_Male_nomultiseg_bam	ADAR	172.225772118562
v1_nomultiseg_5658sTS_Human_Heart_16w_Female_nomultiseg_bam	ADAR	130.563041188458
v1_nomultiseg_5659sTS_Human_Heart_13w_Male_nomultiseg_bam	ADAR	141.907547887462
v1_nomultiseg_5660sTS_Human_Heart_18w_Male_nomultiseg_bam	ADAR	144.182443423733
